Nombre del producto,Descripcion,Categoria,Precio de lista,Precio con descuento,Link del producto,Stock,Sku (codigo de referencia)
CAPSULAS STARBUCKS  MACCIATO X 10u CAPS STARBUCKS  MACCIATO X12 U,CAPSULAS STARBUCKS  MACCIATO X 10u,/Almacén/Desayuno y Merienda/Cafés/,1209.49,1209.49,https://www.hiperlibertad.com.ar/capsulas-starbucks-macciato-x-10u/p,73,456994
MANI KING TOST DOY PACKX500GRS,MANI KING TOST DOY PACKX500GRS,/Almacén/Snacks/Maní/,405.49,405.49,https://www.hiperlibertad.com.ar/mani-king-tost-doy-packx500grs/p,16,456852
Fideos fusilli Wakas multicereal kale sin TACC 250 g,Fideos fusilli Wakas multicereal kale sin TACC 250 g,/Almacén/Sin Tacc/,259.0,259.0,https://www.hiperlibertad.com.ar/fideos-fusilli-wakas-multicereal-kale-sin-tacc-250-g/p,64,456571
TURRON NAMUR GEORGALOS 25GR,TURRON NAMUR GEORGALOS 25GR,/Almacén/Golosinas y Chocolates/Bocaditos/,34.99,34.99,https://www.hiperlibertad.com.ar/turron-namur-georgalos-25gr/p,57,456284
Arroz Risotto a la Española Gallo X240GR,Arroz Gallo Risotto a la Española 240 Gr,/Almacén/Arroz y Legumbres/Arroz Listo/,357.49,357.49,https://www.hiperlibertad.com.ar/arroz-risotto-a-la-espanola-gallo-x240gr/p,158,455209
Arroz Gallo Risotto Primavera 240 Gr,Arroz Gallo Risotto Primavera 240 Gr,/Almacén/Arroz y Legumbres/Arroz Listo/,357.49,357.49,https://www.hiperlibertad.com.ar/arroz-gallo-risotto-primavera-240-gr/p,75,455205
Arroz Risotto 4 Quesos Gallo X240GR,Arroz Gallo Risotto 4 Quesos 240 Gr,/Almacén/Arroz y Legumbres/Arroz Listo/,357.49,357.49,https://www.hiperlibertad.com.ar/arroz-risotto-4-quesos-gallo-x240gr/p,71,455204
GALLO RISOTTO CHAMPI�ONES  X2 GALLO RISOTTO CHAMPIÑONES X 2 PORCIONES,GALLO RISOTTO CHAMPI�ONES  X2,/Almacén/Arroz y Legumbres/Arroz Listo/,357.49,357.49,https://www.hiperlibertad.com.ar/gallo-risotto-champi-ones-x2/p,76,455202
Aperitivo Vermouth Cinzano Rosso 1000 cc,Aperitivo Vermouth Cinzano Rosso 1000 cc,/Bebidas/APERITIVOS/CON ALCOHOL/,739.99,555.3,https://www.hiperlibertad.com.ar/aperitivo-vermouth-cinzano-rosso-1000-cc/p,465,455139
OLEO CALCAREO DONCELLA X 500 Ml,OLEO CALCAREO DONCELLA X 500 Ml,/Bebés y Niños/HIGIENE Y SALUD/DESPUÉS DEL BAÑO/,493.49,493.49,https://www.hiperlibertad.com.ar/oleo-calcareo-doncella-x-500-ml/p,17,455059
